2025-09-02 15:48:25 - main - ERROR - [logging_config.py:231] - log_error_with_context() - [ERROR] Error in startup_event: 'IntelligentQAService' object has no attribute 'initialize_system' - Context: {'duration': 0.003769397735595703}
2025-09-02 15:48:25 - main - ERROR - [main.py:321] - startup_event() - [STARTUP] Startup initialization failed: 'IntelligentQAService' object has no attribute 'initialize_system'
2025-09-02 15:48:43 - main - ERROR - [logging_config.py:231] - log_error_with_context() - [ERROR] Error in startup_event: 'IntelligentQAService' object has no attribute 'initialize_system' - Context: {'duration': 0.003167867660522461}
2025-09-02 15:48:43 - main - ERROR - [main.py:321] - startup_event() - [STARTUP] Startup initialization failed: 'IntelligentQAService' object has no attribute 'initialize_system'
2025-09-02 15:49:21 - main - ERROR - [logging_config.py:231] - log_error_with_context() - [ERROR] Error in startup_event: 'IntelligentQAService' object has no attribute 'initialize_system' - Context: {'duration': 0.0022013187408447266}
2025-09-02 15:49:21 - main - ERROR - [main.py:321] - startup_event() - [STARTUP] Startup initialization failed: 'IntelligentQAService' object has no attribute 'initialize_system'
2025-09-02 15:50:26 - services.ai.data_integration_service - ERROR - [data_integration_service.py:44] - initialize_knowledge_base() - Redis initialization failed: Redis not connected
2025-09-02 15:50:28 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:28 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:28 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:29 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:29 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:30 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:30 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:32 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:33 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:33 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:34 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:34 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:35 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:35 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:36 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:36 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:37 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:37 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:37 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:38 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:38 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:39 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:39 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:40 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:40 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:40 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:41 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:41 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:42 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:42 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:43 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:43 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:44 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:44 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:45 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:45 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:45 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:46 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:46 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:47 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:47 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:48 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:48 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:49 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:49 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:50 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:50 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:50 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:51 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:51 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:52 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:52 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:52 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:53 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:53 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:54 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:54 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:55 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:55 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:56 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:56 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:56 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:57 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:57 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:58 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:58 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:59 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:50:59 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:00 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:00 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:01 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:01 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:01 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:02 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:02 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:03 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:03 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:04 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:04 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:05 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
2025-09-02 15:51:05 - services.ai.embedding_service - ERROR - [embedding_service.py:57] - generate_embedding() - Invalid response from Google Generative AI API
